,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
264,cut_first,0.0,1,-1,702,5.01964273574,17502351.0,132.0
265,cut_second,-1.5707963267899998,1,-1,702,6.80715181137,17502351.0,132.0
266,cut_first,0.0,1,-1,217,3.34994586361,17502351.0,133.0
267,cut_second,-1.5707963267899998,1,-1,217,3.99886869765,17502351.0,133.0
268,cut_first,0.0,1,-1,121,4.394275866559999,17502351.0,134.0
269,cut_second,-1.5707963267899998,1,-1,121,4.6003150681300005,17502351.0,134.0
270,cut_first,0.0,1,-1,920,8.74275280807,17502351.0,135.0
271,cut_second,-1.5707963267899998,1,-1,920,8.03157656085,17502351.0,135.0
272,cut_first,0.0,1,-1,315,5.60236056264,17502351.0,136.0
273,cut_second,-1.5707963267899998,1,-1,315,4.4146523249000005,17502351.0,136.0
274,cut_first,0.0,1,-1,507,8.2641941803,17502351.0,137.0
275,cut_second,-1.5707963267899998,1,-1,507,7.80896659225,17502351.0,137.0
276,cut_first,0.0,1,-1,160,7.16933394523,17502351.0,138.0
277,cut_second,-1.5707963267899998,1,-1,160,9.478654681930001,17502351.0,138.0
278,cut_first,0.0,1,-1,618,3.8727190743300004,17502351.0,139.0
279,cut_second,-1.5707963267899998,1,-1,618,5.6641909868599996,17502351.0,139.0
280,cut_first,0.0,1,-1,777,9.71957677834,17502351.0,140.0
281,cut_second,-1.5707963267899998,1,-1,777,7.99724309465,17502351.0,140.0
282,cut_first,0.0,1,-1,760,6.9668529308,17502351.0,141.0
283,cut_second,-1.5707963267899998,1,-1,760,8.13582846965,17502351.0,141.0
284,cut_first,0.0,1,-1,600,6.416681817610001,17502351.0,142.0
285,cut_second,-1.5707963267899998,1,-1,600,4.35101812261,17502351.0,142.0
286,cut_first,0.0,1,-1,526,3.03111181884,17502351.0,143.0
287,cut_second,-1.5707963267899998,1,-1,526,5.17140517353,17502351.0,143.0
288,cut_first,0.0,1,-1,139,7.05783145328,17502351.0,144.0
289,cut_second,-1.5707963267899998,1,-1,139,8.176063390760001,17502351.0,144.0
290,cut_first,0.0,1,-1,356,5.369154083180001,17502351.0,145.0
291,cut_second,-1.5707963267899998,1,-1,356,6.030198378130001,17502351.0,145.0
292,cut_first,0.0,1,-1,207,5.18382779322,17502351.0,146.0
293,cut_second,-1.5707963267899998,1,-1,207,5.01894631172,17502351.0,146.0
294,cut_first,0.0,1,-1,472,5.4228902666,17502351.0,147.0
295,cut_second,-1.5707963267899998,1,-1,472,5.14324363096,17502351.0,147.0
296,cut_first,0.0,1,-1,484,7.52175419108,17502351.0,148.0
