,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
93,cut_second,-1.5707963267899998,1,-1,743,4.12958143766,10345980.5673,46.0
94,cut_first,0.0,1,-1,594,5.578966780140001,22429898.9226,47.0
95,cut_second,-1.5707963267899998,1,-1,594,6.21703241015,22429898.9226,47.0
96,cut_first,0.0,1,-1,901,7.03221519104,12994507.6132,48.0
97,cut_second,-1.5707963267899998,1,-1,901,7.378363708839999,12994507.6132,48.0
98,cut_first,0.0,1,-1,586,9.84052214369,22388074.3758,49.0
99,cut_second,-1.5707963267899998,1,-1,586,8.534491804950001,22388074.3758,49.0
100,cut_first,0.0,1,-1,234,10.0687421728,24456614.3295,50.0
101,cut_second,-1.5707963267899998,1,-1,234,11.187532698,24456614.3295,50.0
102,cut_first,0.0,1,-1,717,10.0741498436,28436951.4697,51.0
103,cut_second,-1.5707963267899998,1,-1,717,8.7211382954,28436951.4697,51.0
104,cut_first,0.0,1,-1,660,2.15736332814,8842000.24265,52.0
105,cut_second,-1.5707963267899998,1,-1,660,1.60365464151,8842000.24265,52.0
106,cut_first,0.0,1,-1,789,1.59743165306,8090800.72139,53.0
107,cut_second,-1.5707963267899998,1,-1,789,3.9063734921599997,8090800.72139,53.0
108,cut_first,0.0,1,-1,987,1.49860889497,3183224.52445,54.0
109,cut_second,-1.5707963267899998,1,-1,987,-0.279647322977,3183224.52445,54.0
110,cut_first,0.0,1,-1,650,7.96068098388,14416399.6753,55.0
111,cut_second,-1.5707963267899998,1,-1,650,6.554065167130001,14416399.6753,55.0
112,cut_first,0.0,1,-1,269,8.282168708939999,12422932.2204,56.0
113,cut_second,-1.5707963267899998,1,-1,269,6.190507245830001,12422932.2204,56.0
114,cut_first,0.0,1,-1,862,2.60846776064,8912378.59908,57.0
115,cut_second,-1.5707963267899998,1,-1,862,2.9010451560900004,8912378.59908,57.0
116,cut_first,0.0,1,-1,835,6.3433989657700005,25028415.8254,58.0
117,cut_second,-1.5707963267899998,1,-1,835,8.414305372380001,25028415.8254,58.0
118,cut_first,0.0,1,-1,7,9.9703805699,31860535.2232,59.0
119,cut_second,-1.5707963267899998,1,-1,7,8.544506360369999,31860535.2232,59.0
120,cut_first,0.0,1,-1,287,9.6343773352,21282698.3423,60.0
121,cut_second,-1.5707963267899998,1,-1,287,9.99458066378,21282698.3423,60.0
122,cut_first,0.0,1,-1,657,3.3034621641900004,15510652.2576,61.0
123,cut_second,-1.5707963267899998,1,-1,657,4.100246524030001,15510652.2576,61.0
124,cut_first,0.0,1,-1,280,4.4869021424,14253300.2519,62.0
125,cut_second,-1.5707963267899998,1,-1,280,4.70543988515,14253300.2519,62.0
126,cut_first,0.0,1,-1,131,7.714947625010001,21326243.0542,63.0
127,cut_second,-1.5707963267899998,1,-1,131,9.26817675989,21326243.0542,63.0
128,cut_first,0.0,1,-1,375,5.407094810419999,17068720.2398,64.0
129,cut_second,-1.5707963267899998,1,-1,375,8.45529951004,17068720.2398,64.0
130,cut_first,0.0,1,-1,113,8.626646584260001,16228438.9537,65.0
131,cut_second,-1.5707963267899998,1,-1,113,7.834846153360001,16228438.9537,65.0
132,cut_first,0.0,1,-1,255,-1.12541894761,4648452.1972,66.0
133,cut_second,-1.5707963267899998,1,-1,255,-1.30933709476,4648452.1972,66.0
134,cut_first,0.0,1,-1,419,10.005049439299999,24805578.1993,67.0
135,cut_second,-1.5707963267899998,1,-1,419,9.78279835963,24805578.1993,67.0
136,cut_first,0.0,1,-1,190,7.899032398239999,23529991.1766,68.0
137,cut_second,-1.5707963267899998,1,-1,190,8.94035595712,23529991.1766,68.0
138,cut_first,0.0,1,-1,220,4.3014987842500005,6254202.6313,69.0
139,cut_second,-1.5707963267899998,1,-1,220,4.4689637835300005,6254202.6313,69.0
140,cut_first,0.0,1,-1,779,8.860382226519999,21764392.9991,70.0
141,cut_second,-1.5707963267899998,1,-1,779,7.7124990017399995,21764392.9991,70.0
142,cut_first,0.0,1,-1,159,2.66888822045,12330586.6554,71.0
143,cut_second,-1.5707963267899998,1,-1,159,5.12692204376,12330586.6554,71.0
144,cut_first,0.0,1,-1,307,3.38504219407,10728325.3996,72.0
145,cut_second,-1.5707963267899998,1,-1,307,4.21671947648,10728325.3996,72.0
146,cut_first,0.0,1,-1,346,6.329962092610001,17125591.0373,73.0
147,cut_second,-1.5707963267899998,1,-1,346,5.92970108099,17125591.0373,73.0
148,cut_first,0.0,1,-1,469,6.797173013709999,12854149.6699,74.0
149,cut_second,-1.5707963267899998,1,-1,469,5.428748483230001,12854149.6699,74.0
150,cut_first,0.0,1,-1,339,1.35960854806,8376940.672560001,75.0
151,cut_second,-1.5707963267899998,1,-1,339,2.82996647658,8376940.672560001,75.0
152,cut_first,0.0,1,-1,910,8.79536152086,25017134.7701,76.0
153,cut_second,-1.5707963267899998,1,-1,910,10.5484354795,25017134.7701,76.0
154,cut_first,0.0,1,-1,452,7.555878820319999,15952991.1711,77.0
155,cut_second,-1.5707963267899998,1,-1,452,8.0518903466,15952991.1711,77.0
156,cut_first,0.0,1,-1,623,7.66070394517,25448429.8814,78.0
157,cut_second,-1.5707963267899998,1,-1,623,7.17126130359,25448429.8814,78.0
158,cut_first,0.0,1,-1,991,8.214510915630001,15605652.7478,79.0
159,cut_second,-1.5707963267899998,1,-1,991,7.34565337952,15605652.7478,79.0
160,cut_first,0.0,1,-1,616,8.06061313185,19620996.2625,80.0
161,cut_second,-1.5707963267899998,1,-1,616,7.50993990025,19620996.2625,80.0
162,cut_first,0.0,1,-1,744,6.0908552788699994,13643644.9978,81.0
163,cut_second,-1.5707963267899998,1,-1,744,6.20854973503,13643644.9978,81.0
164,cut_first,0.0,1,-1,6,5.65945937106,14854270.9314,82.0
165,cut_second,-1.5707963267899998,1,-1,6,4.69496432464,14854270.9314,82.0
166,cut_first,0.0,1,-1,432,5.8477642124099996,19089560.0269,83.0
167,cut_second,-1.5707963267899998,1,-1,432,8.13983988837,19089560.0269,83.0
168,cut_first,0.0,1,-1,144,-2.24743430766,6473165.0509,84.0
169,cut_second,-1.5707963267899998,1,-1,144,-0.681738296378,6473165.0509,84.0
170,cut_first,0.0,1,-1,97,0.178855516519,2628944.29226,85.0
171,cut_second,-1.5707963267899998,1,-1,97,0.223796875228,2628944.29226,85.0
172,cut_first,0.0,1,-1,59,2.36345918772,3324583.53565,86.0
173,cut_second,-1.5707963267899998,1,-1,59,2.4281672539,3324583.53565,86.0
174,cut_first,0.0,1,-1,509,3.0469357163599997,10628031.0891,87.0
175,cut_second,-1.5707963267899998,1,-1,509,3.07759730616,10628031.0891,87.0
176,cut_first,0.0,1,-1,598,6.548064570419999,22868580.1541,88.0
177,cut_second,-1.5707963267899998,1,-1,598,7.98306362,22868580.1541,88.0
178,cut_first,0.0,1,-1,651,8.57498873127,27248633.6079,89.0
179,cut_second,-1.5707963267899998,1,-1,651,7.492129800960001,27248633.6079,89.0
180,cut_first,0.0,1,-1,451,8.86204415598,23363833.9847,90.0
181,cut_second,-1.5707963267899998,1,-1,451,9.9176921015,23363833.9847,90.0
182,cut_first,0.0,1,-1,488,14.556768517,36044895.8266,91.0
183,cut_second,-1.5707963267899998,1,-1,488,14.7799821894,36044895.8266,91.0
184,cut_first,0.0,1,-1,490,3.543995186,8482798.58561,92.0
185,cut_second,-1.5707963267899998,1,-1,490,2.68061919254,8482798.58561,92.0
186,cut_first,0.0,1,-1,985,3.2580600748000004,11560386.6026,93.0
187,cut_second,-1.5707963267899998,1,-1,985,5.13035943747,11560386.6026,93.0
188,cut_first,0.0,1,-1,566,6.0262390535899995,15496657.6937,94.0
189,cut_second,-1.5707963267899998,1,-1,566,6.883127366569999,15496657.6937,94.0
190,cut_first,0.0,1,-1,666,11.4448817809,24502448.2527,95.0
191,cut_second,-1.5707963267899998,1,-1,666,12.5813241969,24502448.2527,95.0
192,cut_first,0.0,1,-1,19,9.0705008021,19379403.536,96.0
193,cut_second,-1.5707963267899998,1,-1,19,8.44682433575,19379403.536,96.0
194,cut_first,0.0,1,-1,310,11.0047410747,22049211.7441,97.0
195,cut_second,-1.5707963267899998,1,-1,310,11.4478631307,22049211.7441,97.0
196,cut_first,0.0,1,-1,193,13.4859611397,31812973.3428,98.0
197,cut_second,-1.5707963267899998,1,-1,193,12.142756887100001,31812973.3428,98.0
198,cut_first,0.0,1,-1,673,8.56784530369,17812796.8983,99.0
199,cut_second,-1.5707963267899998,1,-1,673,6.45837441133,17812796.8983,99.0
200,cut_first,0.0,1,-1,889,13.1718412832,28705431.1645,100.0
201,cut_second,-1.5707963267899998,1,-1,889,14.2171418493,28705431.1645,100.0
202,cut_first,0.0,1,-1,257,11.6633367423,29024466.7322,101.0
203,cut_second,-1.5707963267899998,1,-1,257,10.418232144500001,29024466.7322,101.0
204,cut_first,0.0,1,-1,333,13.464709648900001,32086955.2809,102.0
205,cut_second,-1.5707963267899998,1,-1,333,11.599482406400002,32086955.2809,102.0
206,cut_first,0.0,1,-1,60,2.7270987289999997,9673450.379069999,103.0
207,cut_second,-1.5707963267899998,1,-1,60,4.64205915388,9673450.379069999,103.0
208,cut_first,0.0,1,-1,102,11.375752701500002,31669797.1544,104.0
209,cut_second,-1.5707963267899998,1,-1,102,10.5877084199,31669797.1544,104.0
210,cut_first,0.0,1,-1,990,5.138895650619999,16076854.2713,105.0
211,cut_second,-1.5707963267899998,1,-1,990,6.49479781414,16076854.2713,105.0
212,cut_first,0.0,1,-1,209,5.96486945551,13698422.7782,106.0
213,cut_second,-1.5707963267899998,1,-1,209,5.48282817244,13698422.7782,106.0
214,cut_first,0.0,1,-1,798,0.260306189881,9853062.51828,107.0
215,cut_second,-1.5707963267899998,1,-1,798,2.9415981504400004,9853062.51828,107.0
