py_sampleID,stress_new,stress_old,stress_ADBC,stress_ABCD
109,11988893.1525955,9585540.83589229,9412143.63508624,11284509.7419514
110,17458792.8574732,17842793.4642556,19536806.5491746,14272215.3762661
111,16658766.103197,12341093.5462407,16045257.7816545,11759655.8567192
112,18846514.6241774,17181157.6737489,16277658.1092174,10744736.3846883
113,12421582.7257428,8032704.81641713,11839793.267177,13649385.1545342
114,8530728.84685238,5477882.83097185,9831358.45029958,9159147.52730583
115,9704694.29789849,7658658.51850284,7750897.83642642,10822746.6363661
116,13360648.965794,11734443.076358,11348639.2230602,9624866.83111133
117,26448475.1245675,18654031.7340564,20792136.5463869,21365604.6681637
118,30974806.6155548,22652558.3168378,24315797.8649474,24132621.2488303
119,21009917.0826277,19148075.4592254,23041223.3709639,24735953.8215594
120,17704856.0183269,11948640.2912071,14716833.2110795,19520654.4935002
121,15828214.3323434,11461767.3764926,13831346.6203691,12866155.6826639
122,24607188.378684,25839255.0161774,28435929.2278149,24116048.400846
123,11563727.6809335,8567119.66131074,9608347.63948002,9970991.04290156
124,23996211.0941472,17446450.1298055,16275207.9874656,18855047.5546862
125,34953787.9385235,24673746.8687346,24199803.0292298,27025115.5726313
126,24182694.5940674,19223082.2010646,21526368.008316,20950423.3478049
127,27157105.2959519,24268232.0892913,31447743.1904993,33170464.3257697
128,9729519.81554092,9955689.26617166,10240914.6835214,11600295.2234985
129,23288787.2343629,19814504.8721556,19813044.1813217,16243816.9149121
130,16194307.1394284,15882712.0294319,14426814.1887822,11810276.8495402
131,8393550.14444625,5660760.74273392,7900395.97586482,8880084.79398631
132,17618264.5003501,16993143.3857311,14090355.9808356,10207103.2377028
133,9837283.95530737,9011472.94651933,8001930.81821047,8445757.32362508
134,14471721.5947048,12043809.6684344,11608127.2818084,9907267.57247055
135,6742378.91669569,5288290.27904901,7518021.11278967,14465223.293389
136,18762021.9728328,22576898.0980345,25182326.2115482,25527353.4545874
137,22630838.4988573,19744900.491826,22015870.0613884,19634265.0217359
138,19021776.095851,15021674.0181032,16106894.2937874,15353817.3331821
139,13655897.3279659,10001889.1902368,11958061.7884894,10239961.5780125
140,11045768.3683891,7872386.08627709,9197868.67694376,8543356.02027413
141,21269178.6407842,17357747.8033395,16970914.5885435,14336949.6607143
142,11353442.0170881,11047614.8519345,10237761.1562222,9109256.37741523
143,15595643.2129952,11966772.9915722,13981314.3164718,11529169.1571959
144,12124367.1949637,9835528.94683108,8795525.71068833,6613020.51572065
145,28577083.2747655,25127438.3770149,27261820.0278097,23644846.0986814
146,16415301.5175799,15015252.8803377,14512008.6722296,13236754.5239597
147,7758510.25454204,6973395.61456916,8943626.50658652,6962081.64786262
148,23446662.2305669,19031683.5695073,25083146.9186006,24646201.3847679
149,15410767.8755175,13882235.430093,14515134.452874,11845853.2030941
150,19023685.0160901,18098903.3435898,22523325.1841444,28206501.5254292
151,22592091.3485144,18006174.5408101,21173901.6726223,16321549.2059796
152,22042132.0408854,21337013.2430937,29858312.3484642,27419577.7656117
153,12135767.6703627,9569214.99273771,12689540.8058399,19334818.4315662
154,9555371.31249857,7534404.04070819,11496306.1103498,11351038.641072
155,17957595.2057411,13996804.8565905,17452972.8598433,13015776.3700527
156,15669060.0451929,11597330.9156977,10969188.0931926,8532530.80754702
157,18415498.7539136,15692885.7254201,15187233.5529465,11242136.9860103
158,20728005.9293678,18798214.9534506,17040061.4070729,16808954.5570438
159,24413117.0959186,16346556.7243205,22380213.4455286,30648877.7313842
160,16817760.746196,13512481.5840983,12933929.4155711,17345344.9394889
161,18921196.0477796,20628869.2918306,20087539.3825877,19023222.1049
162,13209392.2518929,10458681.2802205,9348003.83825919,10838778.1066872
163,11532408.2897652,12125513.9467527,14100847.1073698,14675107.5474468
